name,qid,P_5,recall_10,map,ndcg_cut_10
ElasticsearchBM25,Q001,1.0,0.3333333333333333,0.7293421231039161,0.7659543835545645
ElasticsearchBM25,Q002,1.0,0.4090909090909091,0.9566239316239318,0.744747454154914
ElasticsearchBM25,Q003,0.4,0.08,0.35287918199582,0.35895421017163465
ElasticsearchBM25,Q004,1.0,0.3,0.8385129287028023,0.744747454154914
ElasticsearchBM25,Q005,1.0,0.38095238095238093,0.8301461988304094,0.6858696287818823
ElasticsearchBM25,Q006,0.2,0.043478260869565216,0.14176269977487016,0.11004588314904007
ElasticsearchBM25,Q007,0.4,0.1724137931034483,0.4473291742057935,0.5582604437617527
ElasticsearchBM25,Q008,0.6,0.13333333333333333,0.3138674538259455,0.15542582392121362
ElasticsearchBM25,Q009,1.0,0.2916666666666667,0.8938577586206896,0.6982080723036641
ElasticsearchBM25,Q010,1.0,0.3333333333333333,0.8370639723193901,0.7417471003983785
ElasticsearchBM25,Q011,0.4,0.125,0.2994152046783626,0.1466763514848723
ElasticsearchBM25,Q012,0.4,0.08333333333333333,0.23641660120450375,0.141642004605557
ElasticsearchBM25,Q013,0.0,0.043478260869565216,0.19062111801242237,0.07336392209936005
ElasticsearchBM25,Q014,1.0,0.36,0.9589457550996012,0.6944051626295282
ElasticsearchBM25,Q015,0.0,0.18181818181818182,0.39272103629562705,0.27267015568947806
ElasticsearchBM25,Q016,1.0,0.45454545454545453,0.880784865540963,0.9112986599095141
ElasticsearchBM25,Q017,1.0,0.75,0.908619964007895,0.9680729802912021
ElasticsearchBM25,Q018,1.0,0.6363636363636364,1.0,0.8989990225027823
ElasticsearchBM25,Q019,0.2,0.07407407407407407,0.2564046629855132,0.2984900352767555
ElasticsearchBM25,Q020,1.0,0.4166666666666667,0.9303675048355899,0.8611511462453227
ElasticsearchBM25,Q021,1.0,0.5,0.7990952637202824,0.7196669022633795
ElasticsearchBM25,Q022,0.6,0.21052631578947367,0.46006204295846237,0.31810948297463687
ElasticsearchBM25,Q023,0.8,0.375,0.8002134586745571,0.7080759865940204
ElasticsearchBM25,Q024,0.4,0.09090909090909091,0.321633241438868,0.35895421017163465
ElasticsearchBM25,Q025,0.4,0.1,0.31407921946207945,0.27011525642224515
ElasticsearchBM25,Q026,0.2,0.047619047619047616,1.0,0.07336392209936005
ElasticsearchBM25,Q027,1.0,0.42105263157894735,0.720213806488736,0.6635966077575175
ElasticsearchBM25,Q028,0.2,0.05555555555555555,0.3102442070807132,0.08460552821190487
ElasticsearchBM25,Q029,1.0,0.3888888888888889,0.6467186449788335,0.7508611754807564
ElasticsearchBM25,Q030,1.0,0.5333333333333333,0.8142242934753058,0.7254542055741202
ElasticsearchBM25,Q031,1.0,0.36363636363636365,0.9309523809523809,0.7121881158668885
ElasticsearchBM25,Q032,1.0,0.34782608695652173,0.8072537348272641,0.6938571391786656
ElasticsearchBM25,Q033,0.0,0.0,0.1371520720379573,0.0
ElasticsearchBM25,Q034,0.0,0.0,0.0,0.0
ElasticsearchBM25,Q035,0.8,0.2222222222222222,0.5785022360680256,0.6068989404990222
ElasticsearchBM25,Q036,0.8,0.23333333333333334,0.8040674603174603,0.6360933802954563
ElasticsearchBM25,Q037,1.0,0.30434782608695654,0.7409481297868704,0.6330790181446884
ElasticsearchBM25,Q038,0.4,0.07692307692307693,0.23278434993316852,0.17554440492323453
ElasticsearchBM25,Q039,0.0,0.0,0.07142857142857142,0.0
ElasticsearchBM25,Q040,1.0,0.38461538461538464,0.7607345277436601,0.7091923051268172
ElasticsearchBM25,Q041,0.2,0.06896551724137931,0.23369604251957196,0.16006937327320506
ElasticsearchBM25,Q042,0.0,0.0,0.05333611177264428,0.0
ElasticsearchBM25,Q043,0.2,0.14285714285714285,0.400318761698072,0.3600558568883671
ElasticsearchBM25,Q044,1.0,0.24,0.6647330174934899,0.6701385047314972
ElasticsearchBM25,Q045,0.6,0.2,0.5289089995129713,0.43433484272857315
ElasticsearchBM25,Q046,1.0,0.36,0.8028286171518991,0.725724693544806
ElasticsearchBM25,Q047,1.0,0.28,0.6636054089279896,0.6073755229697406
ElasticsearchBM25,Q048,0.8,0.19230769230769232,0.6871725459921164,0.5849953870898761
ElasticsearchBM25,Q049,0.6,0.375,0.7109406202263344,0.6633073010179705
ElasticsearchBM25,Q050,1.0,0.625,0.8256100079138239,0.8588915325810256
ElasticsearchBM25,Q051,1.0,0.5555555555555556,0.820427934125752,0.8420631275202292
ElasticsearchBM25,Q052,1.0,0.28,0.7193768966575983,0.6860553595406632
ElasticsearchBM25,Q053,1.0,0.35294117647058826,0.8408748114630468,0.7390541053550274
ElasticsearchBM25,Q054,1.0,0.45454545454545453,0.9583333333333334,0.6150499989137241
ElasticsearchBM25,Q055,1.0,0.2916666666666667,0.824808569566634,0.579564651017077
ElasticsearchBM25,Q056,0.4,0.08333333333333333,0.37503620410597166,0.35895421017163465
ElasticsearchBM25,Q057,0.8,0.3076923076923077,0.7592483660130719,0.5914862666736843
ElasticsearchBM25,Q058,1.0,0.32,0.5505562890062671,0.7153669865285527
ElasticsearchBM25,Q059,0.8,0.23076923076923078,0.5394367577150966,0.36542780120721774
ElasticsearchBM25,Q060,1.0,0.2916666666666667,0.8389084130155561,0.6330790181446884
ElasticsearchBM25,Q061,0.8,0.22727272727272727,0.5662210516755972,0.44843922207748216
ElasticsearchBM25,Q062,0.8,0.25,0.9379251700680271,0.6021382244014594
ElasticsearchBM25,Q063,1.0,0.38461538461538464,0.9305613912231558,0.7659543835545645
ElasticsearchBM25,Q064,0.8,0.14814814814814814,0.5361936417491973,0.5388856921828065
ElasticsearchBM25,Q065,0.8,0.26666666666666666,0.7347115164506469,0.6786850254788727
ElasticsearchBM25,Q066,0.8,0.2608695652173913,0.7694264069264068,0.6537484093406217
ElasticsearchBM25,Q067,0.0,0.0,0.0,0.0
ElasticsearchBM25,Q068,1.0,0.36363636363636365,0.8521793902746284,0.6735603747367125
ElasticsearchBM25,Q069,0.4,0.06666666666666667,0.40544354838709673,0.2484728055119538
ElasticsearchBM25,Q070,0.8,0.19047619047619047,0.8588235294117647,0.4170606134915054
ElasticsearchBM25,Q071,1.0,0.2962962962962963,0.7130545705279747,0.6475696578874808
ElasticsearchBM25,Q072,0.4,0.1,0.22274171016947397,0.20113841141082234
ElasticsearchBM25,Q073,0.0,0.0,0.1562622569448418,0.0
ElasticsearchBM25,Q074,0.0,0.0,0.038461538461538464,0.0
ElasticsearchBM25,Q075,0.8,0.26666666666666666,0.7758444333444333,0.5769212005092837
ElasticsearchBM25,Q076,0.0,0.0,0.15048840048840048,0.0
ElasticsearchBM25,Q077,0.6,0.2222222222222222,0.678159804591693,0.6168295842361273
ElasticsearchBM25,Q078,1.0,0.25,0.5967970382532519,0.5715626388151183
ElasticsearchBM25,Q079,1.0,0.2413793103448276,0.5885027238678923,0.5471292949799456
ElasticsearchBM25,Q080,0.0,0.03333333333333333,0.14112554112554115,0.02120692939965057
ElasticsearchBM25,Q081,1.0,0.4166666666666667,0.9417293233082706,0.7027621406415305
ElasticsearchBM25,Q082,0.6,0.1724137931034483,0.5150039766479481,0.345573750391161
ElasticsearchBM25,Q083,1.0,0.34782608695652173,0.7358141334967729,0.6768067449065179
ElasticsearchBM25,Q084,0.8,0.14814814814814814,0.38174681277879735,0.5388856921828065
ElasticsearchBM25,Q085,0.8,0.20833333333333334,0.5302002780088334,0.4956681358076425
ElasticsearchBM25,Q086,0.8,0.3,0.8126587301587301,0.6607868248473734
ElasticsearchBM25,Q087,0.8,0.22727272727272727,0.7255944004396016,0.5849953870898761
ElasticsearchBM25,Q088,1.0,0.3181818181818182,0.7779747606846733,0.6414459938759168
ElasticsearchBM25,Q089,1.0,0.23333333333333334,0.7616716181422064,0.6354611674552129
